,rstring,convtime,visited,bestrule
0,185803,10,131,185803
1,30827,7,111,30827
2,185433,19,181,185433
3,66248,8,115,66248
4,181764,13,151,181764
5,183637,15,145,183637
6,50710,11,137,50710
7,228583,11,146,228583
8,42458,12,149,42458
9,106179,13,159,106179
10,45585,16,183,45585
11,239107,5,92,239107
12,183567,15,189,183567
13,30756,7,108,30756
14,239424,8,117,239424
15,104174,8,117,104174
16,81797,6,99,81797
17,47372,4,75,47372
18,202865,8,129,202865
19,186270,10,141,186270
20,100229,6,108,100229
21,85446,9,130,85446
22,120985,10,150,120985
23,112907,11,128,112907
24,63357,12,153,63357
25,124902,9,113,124902
26,34142,12,155,34142
27,255090,10,139,255090
28,20472,11,168,20472
29,13675,11,141,13675
30,135015,11,148,135015
31,41736,7,113,41736
32,126432,6,97,126432
33,212422,12,157,212422
34,205778,5,89,205778
35,85849,7,112,85849
36,101820,15,190,101820
37,145044,13,171,145044
38,116540,6,109,116540
39,21230,6,90,21230
40,180994,10,128,180994
41,181171,8,122,181171
42,121433,10,146,121433
43,233228,7,107,233228
44,119414,5,104,119414
45,11988,7,104,11988
46,16479,8,135,16479
47,55669,13,158,55669
48,146509,9,97,146509
49,189593,9,132,189593
50,58804,13,157,58804
51,92513,8,123,92513
52,176434,7,123,176434
53,161887,13,150,161887
54,122575,8,100,122575
55,144173,11,153,144173
56,111405,11,141,111405
57,253627,5,86,253627
58,232969,12,176,232969
59,103922,7,111,103922
60,242603,7,102,242603
61,182543,7,114,182543
62,73069,11,162,73069
63,186848,12,173,186848
64,115674,7,126,115674
65,61162,8,127,61162
66,67251,7,102,67251
67,169618,8,117,169618
68,163109,6,98,163109
69,141369,11,160,141369
70,235266,9,137,235266
71,47587,9,143,47587
72,127132,6,97,127132
73,229580,10,110,229580
74,235329,10,139,235329
75,176551,12,166,176551
76,219317,11,126,219317
77,243371,6,98,243371
78,85015,6,98,85015
79,221490,8,123,221490
80,249398,12,149,249398
81,97240,10,137,97240
82,14163,7,120,14163
83,176546,9,139,176546
84,109497,13,155,109497
85,187535,12,144,187535
86,40787,4,81,40787
87,132062,9,145,132062
88,85932,11,150,85932
89,72711,10,154,72711
90,105340,5,85,105340
91,97093,19,224,97093
92,136047,7,108,136047
93,148694,11,162,148694
94,150422,6,110,150422
95,75722,10,132,75722
96,142784,11,138,142784
97,55988,9,138,55988
98,144095,11,161,144095
99,215371,12,179,215371
