"[2, 6, 8]_[2, 3, 4, 8]","[1, 2, 4, 5, 8]_[3, 7, 8]","[3, 4, 6]_[1, 2, 3, 5, 7, 8]","[1, 3, 7, 8]_[2, 4, 6, 7]"
0100010101110001,1101100100100011,0011010011101011,1010001101010110
1.0,0.6666666666666666,0.3333333333333333,0.0
