"[2, 4, 8]_[1, 3, 4, 7]","[2, 4, 8]_[1, 3, 4, 7]","[2, 4, 8]_[1, 3, 4, 7]","[8, 4, 2]_[8, 7, 4, 3, 1]","[8, 4, 2]_[3, 1]","[8, 4, 2]_[4, 3, 1]","[8, 4, 2]_[4, 3, 1]","[8, 4, 2]_[8, 7, 4, 3, 1]","[8, 4, 2]_[3, 1]","[4, 2]_[7, 4, 3, 1]"
0101000110110011,0101000110110010,0101000110110010,0101100110110000,0101000110100000,0101000110110010,1101000111110000,0111000110110010,0001000110100000,0111000110110011
69.0,63.8,63.6,58.6,57.4,57.0,55.8,55.2,55.0,54.8
