,fitness,num_inds
0,0.9082762295166077,20
1,0.9373005798280968,19
2,0.9586258326050755,17
3,0.9654443724008279,18
4,0.9719653719959889,20
5,0.9763220413495546,18
6,0.9793453414279744,18
7,0.9801725816373642,17
8,0.9833150396643537,19
9,0.9866784457331538,14
10,0.9875393840491993,12
11,0.9897196026208814,11
12,0.9904726987993568,12
13,0.9892188763941087,12
14,0.9925805527286746,10
15,0.9907920439790036,11
16,0.9918154347967443,10
17,0.9913148929064247,11
18,0.9919783731482383,10
19,0.9901466772509047,10
20,0.9884442024427849,14
21,0.9882238301929802,10
22,0.990152783113078,10
23,0.990315237456709,8
24,0.9912232518746154,10
25,0.9908450187065314,12
26,0.9885823524478456,11
27,0.9913204425786031,10
28,0.9916513830717777,8
29,0.9934873715672887,7
30,0.9918635265883247,9
