,fitness,num_inds
0,0.8108791465709542,4
1,0.8504111498669951,4
2,0.8682743916925357,4
3,0.8813031373283168,3
4,0.899926386821486,4
5,0.9138466117676066,3
6,0.9217360924030172,2
7,0.9455692685883621,2
8,0.9774043642241379,1
9,0.9815715921336207,2
10,0.994073275862069,1
11,0.994073275862069,1
12,0.994073275862069,1
13,0.9955549568965517,2
14,0.9955549568965517,2
15,0.9970366379310345,2
16,0.9985183189655172,2
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
