,b,d,p
0,0.0,103.99285714285715,73.66428571428571
1,10.0,57.53928571428572,88.82857142857144
2,20.0,49.528125,88.45625
3,30.0,47.64722222222222,73.52777777777777
4,40.0,49.740625,89.45
5,50.0,69.54444444444444,74.53333333333333
6,60.0,69.43181818181819,79.7909090909091
7,70.0,64.996875,79.96249999999999
8,80.0,47.72272727272727,88.98181818181818
9,90.0,66.15,77.28947368421052
10,100.0,55.87499999999999,77.79166666666667
