,category,d,p
0,both,95.63499999999999,70.55999999999999
1,both,92.29642857142856,78.37142857142858
2,both,89.4607142857143,73.87857142857142
3,both,87.39,72.66000000000001
4,both,95.60909090909091,67.48181818181818
5,both,104.04230769230769,75.4
6,both,94.61,74.47
7,both,89.88461538461539,72.99230769230769
8,both,85.775,69.44285714285715
9,both,97.92692307692307,70.74615384615385
