category,d,p
no mutation or crossover,93.0,73.53333333333333
no mutation or crossover,88.225,79.3
no mutation or crossover,87.45,69.4
no mutation or crossover,89.15,72.45
no mutation or crossover,50.333333333333336,67.73333333333333
no mutation or crossover,97.3,71.8
no mutation or crossover,108.0,74.83333333333333
no mutation or crossover,49.675,68.375
no mutation or crossover,87.3,72.33333333333333
no mutation or crossover,90.28333333333335,75.10000000000001
