,category,d,p
0,no mutation,89.51875,77.13125000000001
1,no mutation,99.35,73.55000000000001
2,no mutation,96.76764705882354,73.93529411764706
3,no mutation,101.4361111111111,71.81666666666666
4,no mutation,101.72,74.72000000000001
5,no mutation,100.97631578947369,70.65263157894738
6,no mutation,98.13125,76.60625000000002
7,no mutation,101.4,73.58823529411765
8,no mutation,86.83500000000001,73.33
9,no mutation,96.41250000000002,73.46666666666665
