"[3]_[1, 2, 5, 6, 7]","[1, 3, 8]_[2, 6, 7, 8]","[2, 3]_[1, 2, 5, 6, 7]","[8, 7, 2]_[6, 4, 1]","[7, 3, 1]_[8, 7, 4, 2]","[8, 7, 2]_[7, 5, 4, 1]","[8, 5, 2]_[8, 4, 3, 1]","[7, 3, 1]_[8, 7, 4, 2]","[8, 7, 1]_[6, 4, 3, 2, 1]","[5, 2, 1]_[8, 4, 3]","[3, 2]_[8, 7, 4, 3]","[3, 1]_[8, 7, 4, 3]","[5, 2, 1]_[8, 4, 3]","[8, 7, 2, 1]_[5, 4, 2, 1]","[5, 2, 1]_[8, 4, 3]","[8, 7, 2]_[5, 4, 2, 1]","[8, 6, 2]_[8, 4, 2]","[8, 7, 2]_[4, 2, 1]","[8, 7, 2, 1]_[7, 4, 1]","[8, 5, 2]_[7, 4, 2, 1]","[2]_[6, 4, 3]","[3, 1]_[8, 7, 2, 1]","[3, 1]_[4, 3]","[8, 7, 1]_[7, 6, 3, 2, 1]","[8, 7, 1]_[8, 7, 3, 2, 1]","[7, 6, 1]_[6, 1]","[7, 5, 1]_[8, 7, 6, 5, 2]","[8, 7, 2]_[7, 1]","[8, 7, 2]_[8, 7, 5, 4, 2, 1]","[8, 7, 1]_[7, 2, 1]","[7, 6, 5, 1]_[6, 2, 1]","[7, 6, 1]_[4, 3, 1]","[8, 7, 1]_[8, 2, 1]","[8, 7, 1]_[7, 5, 4, 1]","[1]_[8, 7, 6, 4, 2]","[8, 7, 1]_[2, 1]","[8, 7, 1]_[7, 6, 5, 2]","[8, 1]_[7, 2, 1]","[8, 7, 1]_[2, 1]","[7, 6, 1]_[7, 6, 5, 2]","[8, 7, 1]_[7, 2, 1]","[8, 7, 1]_[6, 4, 2, 1]","[7, 6, 5, 1]_[8, 7, 5, 2, 1]","[8, 7, 1]_[6, 4, 1]","[8, 7, 1]_[8, 4, 2]","[8, 7, 1]_[7, 4, 1]","[8, 6, 1]_[7, 6, 5, 2]","[7, 1]_[2, 1]","[8, 1]_[7, 6, 2, 1]","[8, 6, 1]_[6, 4, 2]"
1001100001001101,1010000101000111,1110000001001111,0000001110010100,1010001001010010,0101001110011010,1000100110110101,1010001001010011,1000001111110100,1100100000111001,0110000010010011,1010000000110010,1100110000110001,1100001110011000,1100000100110001,1100001111011000,0100010101010001,1100001111010100,1100000110010010,0100100111010010,0000000000110100,1011000001010111,1010000000110000,0001001111100110,1001101101010011,1000011010000100,1100101101001111,0100001110000010,0110100110111011,1000111111000010,1000111001000100,0000011010110101,1000001101110000,1000001110011010,1000000101010111,0001001111000000,1000001101001110,1011100101001110,1000001111100110,1000100001001110,1001111100000010,1000001111010100,1000111011101000,1010000110010000,1000001101110101,1000001110010010,1000010111001110,1000001111000000,1000000111000110,1000010101010100
124.8,100.8,100.4,90.4,90.0,88.8,87.6,87.2,81.2,80.4,80.4,79.6,79.2,78.8,78.4,77.2,76.0,74.8,74.4,73.6,72.0,69.2,68.8,68.4,66.4,65.6,65.6,65.6,65.6,64.8,64.4,64.0,63.6,63.6,63.2,63.2,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.4,62.4,62.4,62.4,62.4
