,epoch,vals
0,0,18854
1,0,21304
2,0,54704
3,0,86650
4,0,20857
5,0,20011
6,0,155000
7,0,94664
8,0,183274
9,0,33020
10,1,20584
11,1,17208
12,1,20856
13,1,86498
14,1,18854
15,1,20936
16,1,21482
17,1,20010
18,1,21304
19,1,20424
20,2,20576
21,2,17184
22,2,16488
23,2,20032
24,2,17200
25,2,18914
26,2,20848
27,2,17192
28,2,20840
29,2,20928
30,3,20576
31,3,20576
32,3,20576
33,3,20576
34,3,17184
35,3,20832
36,3,20576
37,3,17184
38,3,17184
39,3,20832
40,4,16480
41,4,16480
42,4,16480
43,4,16736
44,4,17248
45,4,17248
46,4,17248
47,4,16672
48,4,20576
49,4,16672
50,5,16480
51,5,16480
52,5,16480
53,5,16480
54,5,16480
55,5,16480
56,5,16480
57,5,16480
58,5,16480
59,5,16480
60,6,16480
61,6,16480
62,6,16480
63,6,16480
64,6,16480
65,6,16480
66,6,16480
67,6,16480
68,6,16480
69,6,16480
70,7,16480
71,7,16480
72,7,16480
73,7,16480
74,7,16480
75,7,16480
76,7,16480
77,7,16480
78,7,16480
79,7,16480
80,8,16480
81,8,16480
82,8,16480
83,8,16480
84,8,16480
85,8,16480
86,8,16480
87,8,16480
88,8,16480
89,8,16480
90,9,16480
91,9,16480
92,9,16480
93,9,16480
94,9,16480
95,9,16480
96,9,16480
97,9,16480
98,9,16480
99,9,16480
100,10,16480
101,10,16480
102,10,16480
103,10,16480
104,10,16480
105,10,16480
106,10,16480
107,10,16480
108,10,16480
109,10,16480
