"[4, 8]_[1, 2, 3, 6]","[2, 4]_[1, 2, 3, 4, 7]","[2, 4]_[1, 2, 3, 4, 7]","[4, 2]_[4, 3, 2, 1]","[4, 2]_[7, 3, 2, 1]","[4, 3, 1]_[7, 6, 3, 2, 1]","[4, 2]_[8, 7, 6, 4, 3, 2, 1]","[4, 1]_[8, 3, 2, 1]","[4, 2]_[7, 4, 3, 2, 1]","[4, 2]_[8, 3, 2, 1]"
0101000111000100,0101000011111110,0101001011110010,0001000011010000,0101000011100000,1011000011100110,0101000011111111,1001010011100010,0101000011010010,0100100011100001
117.2,114.8,110.4,108.8,108.0,104.4,100.8,100.8,98.8,98.4
