,rstring,convtime,visited,bestfit,bestrule
17,135690,30,2500,0.9467455621301775,<lifelike.Rulestring.Rulestring object at 0x7f5b32448880>
18,3086,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323fb610>
19,26720,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239ad90>
20,32992,6,580,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323f71c0>
21,18460,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bc940>
22,16388,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3231cfa0>
23,82451,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32413af0>
24,2598,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cc70>
25,8625,30,2500,0.9901380670611439,<lifelike.Rulestring.Rulestring object at 0x7f5b323dc580>
26,2062,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239a970>
27,64,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233d400>
28,17124,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239d8b0>
29,22945,30,2500,0.9923922231614539,<lifelike.Rulestring.Rulestring object at 0x7f5b323063a0>
30,55555,30,2500,0.9923922231614539,<lifelike.Rulestring.Rulestring object at 0x7f5b32382220>
31,51266,6,580,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239db50>
32,84705,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b7880>
33,17696,30,2500,0.9893491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b323a51c0>
34,36934,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239ee80>
35,53965,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239ecd0>
36,149608,30,2500,0.9543533389687235,<lifelike.Rulestring.Rulestring object at 0x7f5b323d16a0>
37,148352,30,2500,0.9301775147928995,<lifelike.Rulestring.Rulestring object at 0x7f5b32445220>
38,183816,30,2500,0.9556213017751479,<lifelike.Rulestring.Rulestring object at 0x7f5b32412970>
39,77200,30,2500,0.9911242603550295,<lifelike.Rulestring.Rulestring object at 0x7f5b322e9520>
40,128466,30,2500,0.9927679158448389,<lifelike.Rulestring.Rulestring object at 0x7f5b324a4ac0>
41,80103,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323fbdf0>
42,137177,30,2500,0.9459002535925612,<lifelike.Rulestring.Rulestring object at 0x7f5b32322d60>
43,96344,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324ba910>
44,13189,30,2500,0.9911242603550295,<lifelike.Rulestring.Rulestring object at 0x7f5b3240cd90>
45,208450,30,2500,0.9504437869822485,<lifelike.Rulestring.Rulestring object at 0x7f5b32439d00>
46,72404,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233a730>
47,158825,30,2500,0.9592373438527284,<lifelike.Rulestring.Rulestring object at 0x7f5b32403a00>
48,33866,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322faca0>
49,105626,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324ba4c0>
50,243002,30,2500,0.9533201840894149,<lifelike.Rulestring.Rulestring object at 0x7f5b32445c70>
51,97862,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bb4f0>
52,66949,30,2500,0.9911242603550295,<lifelike.Rulestring.Rulestring object at 0x7f5b322f2c40>
53,43107,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233aee0>
54,219783,30,2500,0.9630177514792899,<lifelike.Rulestring.Rulestring object at 0x7f5b32425190>
55,207806,30,2500,0.9556213017751479,<lifelike.Rulestring.Rulestring object at 0x7f5b324450d0>
56,103355,30,2500,0.9940828402366864,<lifelike.Rulestring.Rulestring object at 0x7f5b32424af0>
57,182063,30,2500,0.9563609467455622,<lifelike.Rulestring.Rulestring object at 0x7f5b3237b970>
58,64755,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bf490>
59,261633,30,2500,0.9600591715976331,<lifelike.Rulestring.Rulestring object at 0x7f5b323c29a0>
