,rstring,convtime,visited,bestfit,bestrule
0,65536,0,100,"[0.81065089 0.78529163 0.72662722 0.56378698 0.56591716 0.01420118
 0.48804734 0.48865878 0.2695858  0.54508876 0.57420118 0.52615385
 0.30319527 0.53372781 0.52331361 0.30840237 0.08071006 0.48236686
 0.04804734 0.57775148 0.01420118 1.         0.98177515 0.78934911
 0.46556213 0.54721893 0.34911243 0.33514793 0.10343195 0.6397929
 0.10106509 0.96449704 0.2208284  0.23431953 0.96449704 0.54698225
 0.21301775 0.63597633 0.83712239 0.01420118 0.34295858 0.35242604
 0.57443787 0.57372781 0.13822485 0.75597633 0.04       0.05420118
 0.80544379 0.29443787 0.01633136 0.79470028 0.41893491 0.
 0.01420118 0.7697453  0.76010848 0.91898043 0.61686391 0.86251305
 0.01420118 0.18840237 0.39218935 0.48402367 0.07195266 0.64449704
 0.78157962 0.61869822 0.37159763 0.69372781 0.1304142  0.08994083
 0.31857988 0.9408284  0.18863905 0.91078744 0.01420118 0.37325444
 0.66941086 0.50698225 0.26650888 0.03739645 0.08781065 0.60852071
 0.11384615 0.02059172 0.96449704 0.55810651 0.58579882 0.56284024
 0.01420118 0.01420118 0.33940828 0.51905325 0.77727811 0.5391716
 0.08449704 0.38579882 0.27053254 0.96449704]",<lifelike.Rulestring.Rulestring object at 0x7f5b322d4e50>
1,0,0,100,"[1.         0.27313609 0.60828402 1.         0.01846154 0.44781065
 0.         1.         0.44023669 0.58911243 0.46627219 0.80781065
 0.00213018 0.70295858 0.80686391 0.03313609 0.37017751 0.05727811
 0.34863905 0.74106509 0.2312426  0.88071006 0.25940828 0.95007396
 0.95753568 0.91692308 0.94106509 0.94193787 0.05443787 0.20686391
 0.99556213 0.93136095 0.39715976 0.34485207 0.38721893 0.94822485
 0.08852071 0.65798817 0.95928994 0.26887574 0.30414201 0.15242604
 0.01846154 0.43502959 0.62390533 0.3652071  0.         0.85552268
 0.02579882 0.         1.         0.62201183 0.95710059 0.83218935
 0.61112426 0.19621302 0.40970414 0.98060487 0.69017751 0.52
 0.54248521 0.1252071  0.17585799 0.12118343 0.58508876 0.4852071
 0.37514793 0.0087574  0.         0.27408284 0.43597633 0.01230769
 0.83786982 1.         0.01940828 0.33751479 1.         0.36047337
 0.6852071  1.         0.10650888 0.27928994 0.77940828 0.35195266
 0.00781065 0.44473373 0.75455621 0.9704142  0.85207101 0.95795702
 0.93136095 0.94452663 0.27550296 0.98145957 0.9750634  0.01278107
 1.         0.04142012 0.99556213 0.88852071]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bff40>
2,0,0,100,"[0.51550296 0.01230769 0.51053254 0.71289941 0.07242604 0.51668639
 0.02366864 0.5304142  0.73467456 0.36946746 0.59621302 0.38414201
 0.60591716 0.         0.03692308 0.35242604 0.24757396 0.26911243
 0.32094675 0.6416568  0.95519865 0.51147929 0.60733728 0.74461538
 0.62319527 0.87401381 0.83431953 0.90506818 0.10508876 0.69940828
 0.5791716  0.6852071  0.42887574 1.         0.25491124 0.53301775
 0.         0.98145957 0.54840237 0.09325444 0.65633136 0.50769231
 0.65964497 0.28284024 0.38201183 0.97534517 0.83810651 0.38863905
 0.9704142  0.65727811 0.         0.43692308 0.87715976 0.56307692
 0.03029586 0.53159763 0.15502959 0.61704142 0.36378698 0.61846154
 0.65183432 0.9564497  0.34982249 0.92639053 0.9704142  1.
 0.73088757 0.13088757 0.46248521 0.55526627 0.28899408 0.47857988
 0.6435503  0.85514793 0.5635503  0.2643787  0.98732037 0.96956889
 0.89869822 0.90863905 0.27455621 1.         0.72       0.59195266
 0.01278107 0.76707907 0.75242604 0.01065089 0.36804734 0.38721893
 1.         0.32994083 0.74248521 0.07857988 0.17230769 0.25633136
 0.56071006 0.8939645  0.1008284  0.96995904]",<lifelike.Rulestring.Rulestring object at 0x7f5b3239ceb0>
3,0,0,100,"[0.86816568 0.39005917 0.57893491 0.10650888 0.84333615 0.0208284
 0.32473373 0.03289941 0.29017751 0.64686391 0.9704142  0.26627219
 0.4712426  0.15431953 0.95831092 0.33538462 0.98145957 0.38579882
 0.59621302 0.         0.03431953 0.44213018 0.06698225 0.38721893
 0.43408284 0.43857988 0.43218935 0.65159763 0.03621302 0.50840237
 0.03810651 0.23739645 0.67825444 0.96356275 0.97370151 0.85996055
 0.         1.         0.5616568  0.66461538 0.66319527 0.20686391
 0.41609467 0.50816568 0.63550296 0.3843787  0.23005917 0.60047337
 0.95710059 0.16852071 0.         0.73159763 0.         0.03431953
 0.38485207 0.35928994 0.46934911 0.95007396 0.33467456 0.88710059
 0.95823181 0.09633136 0.54248521 0.68284024 0.88852071 0.67928994
 0.58011834 0.48142012 1.         0.0208284  0.27502959 0.45443787
 0.4416568  0.4504142  0.03668639 0.75621302 0.03739645 0.
 0.89187735 0.05443787 0.04118343 0.66390533 0.56852071 0.949237
 0.31005917 0.74529317 0.96       0.76686391 0.59905325 0.95683954
 0.70011834 0.         0.29491124 0.26532544 0.61538462 0.28804734
 0.00213018 0.71573964 0.75502959 0.62461538]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bf4c0>
4,16,0,100,"[0.84781065 0.24426036 0.23076923 0.89380255 0.9581854  0.67242604
 0.61704142 0.14887574 0.95161852 0.66745562 0.96153846 0.08094675
 0.93900774 0.30745562 0.22792899 0.18816568 0.96508876 0.59360947
 0.33443787 0.32852071 0.9581854  0.96508876 0.65065089 0.93934911
 0.72307692 0.92332347 0.95595003 0.86544893 0.06461538 0.32710059
 0.6783432  0.96508876 0.29633136 0.59455621 0.96646943 0.6956213
 0.08284024 0.02816568 0.91881657 0.81603012 0.09443787 0.0139645
 0.48142012 0.33159763 0.59739645 0.51195266 0.36497041 0.34840237
 0.72001076 0.58414201 0.95005917 1.         0.32426036 0.75171598
 0.57514793 0.01088757 0.34177515 0.96238377 0.92814877 0.45869822
 0.44213018 0.4312426  0.12       0.0139645  0.0139645  0.15289941
 0.15550296 0.69278107 0.99619611 0.39573964 0.04923077 0.10627219
 0.72781065 0.0139645  0.88273265 0.40023669 0.0139645  0.87009145
 0.0139645  0.52047337 0.81254438 0.69159763 0.9581854  0.96508876
 0.96508876 0.33514793 0.42698225 0.02035503 0.46272189 0.93421511
 0.62106509 0.72071006 0.94759087 0.89209885 0.05656805 0.5252071
 0.21822485 0.96508876 0.63171598 0.20804734]",<lifelike.Rulestring.Rulestring object at 0x7f5b3239cb20>
5,34824,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323193a0>
6,4096,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239cfa0>
7,2144,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322dcc70>
8,4128,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32319670>
9,8707,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323b96a0>
