,rstring,convtime,visited,bestfit,bestrule
0,65536,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3241b3a0>
1,0,0,100,"[0.87218935 0.4852071  0.41183432 0.78224852 0.96449704 0.3443787
 0.16686391 0.50177515 0.         0.61183432 0.37514793 0.52899408
 0.75502959 0.69230769 0.1443787  0.7964497  0.67337278 0.
 0.         0.1112426  0.58934911 0.94792899 0.39171598 0.20473373
 0.96449704 0.92544379 0.34201183 0.41183432 0.2556213  0.5183432
 0.66863905 0.09230769 0.96449704 0.93136095 0.68757396 0.55147929
 0.51597633 0.6816568  0.         0.05207101 0.56568047 0.30059172
 0.46863905 0.8295858  0.73491124 0.01065089 0.75029586 0.12899408
 0.14792899 0.7443787  0.75739645 0.53491124 0.         0.82485207
 0.         0.0591716  0.51005917 0.         0.3112426  0.78106509
 0.27928994 0.04378698 0.7964497  0.90769231 0.39763314 0.30532544
 0.9443787  0.         0.72071006 0.32189349 0.02011834 0.58343195
 0.87100592 0.62248521 0.77514793 1.         0.61893491 0.82248521
 0.42721893 0.72781065 0.84615385 0.37988166 0.47100592 0.3964497
 0.53727811 0.62011834 0.1112426  0.06508876 0.10650888 0.15266272
 0.5183432  0.9183432  0.32426036 0.50295858 0.27455621 0.04378698
 0.88639053 0.10650888 0.93136095 0.62248521]",<lifelike.Rulestring.Rulestring object at 0x7f5b32381520>
2,0,0,100,"[0.85207101 0.78461538 0.         0.80236686 0.57633136 0.06982249
 0.31597633 0.29467456 0.53017751 0.62721893 0.79289941 0.60473373
 1.         0.82840237 0.06863905 0.35739645 0.67100592 0.20710059
 0.40118343 0.04378698 0.59171598 0.52189349 0.         0.56449704
 0.89349112 0.8260355  0.23076923 0.37514793 0.29585799 0.
 1.         1.         0.53609467 0.28047337 0.61893491 0.06982249
 0.29112426 0.07928994 0.17751479 0.27810651 0.2852071  0.93727811
 0.51360947 0.48047337 0.64970414 0.17633136 0.0852071  0.6295858
 0.27928994 0.42485207 0.3147929  0.28402367 0.12899408 1.
 0.78461538 0.56686391 0.03313609 0.07573964 0.64378698 0.46390533
 0.         0.80591716 0.55147929 0.19289941 0.         0.07455621
 0.21065089 0.66153846 1.         0.58816568 0.07455621 0.49467456
 0.56331361 0.81656805 0.80473373 0.58461538 0.51242604 0.87573964
 0.26035503 0.60473373 0.21420118 0.49822485 1.         0.28639053
 0.61538462 0.41183432 0.36568047 0.1739645  0.27100592 0.55384615
 0.1964497  0.26508876 0.13372781 0.63668639 0.04378698 0.68994083
 0.15739645 0.74674556 0.78343195 0.53136095]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bda90>
3,0,0,100,"[0.41420118 0.89585799 0.28047337 0.13491124 0.55266272 0.
 0.18698225 0.31360947 0.16094675 0.30177515 0.80828402 0.68284024
 0.32307692 0.45325444 0.         0.03195266 1.         0.27810651
 0.86982249 0.         0.39763314 0.23905325 0.62366864 0.87455621
 0.9408284  0.42011834 0.91242604 0.67455621 0.91242604 0.79763314
 0.68284024 0.23905325 0.33254438 1.         0.34792899 0.03550296
 0.16094675 0.77633136 0.35502959 1.         0.03195266 0.78579882
 0.         0.39171598 0.73372781 0.18579882 0.2887574  0.86982249
 0.47455621 0.88639053 0.07455621 1.         0.8260355  0.71005917
 0.8591716  0.83786982 0.88639053 0.88284024 0.77159763 0.
 0.15976331 0.69822485 0.65680473 0.31005917 0.74319527 0.71952663
 0.82011834 0.44023669 0.35857988 0.72189349 0.30887574 0.89467456
 0.40710059 0.4260355  0.7147929  0.78106509 0.44615385 0.42011834
 0.94792899 1.         0.21301775 0.1147929  0.12662722 0.12307692
 0.47928994 0.98934911 0.44142012 0.69822485 0.83668639 0.1147929
 0.4852071  0.         0.50769231 0.90769231 0.62721893 0.07455621
 1.         0.62366864 0.9408284  0.17633136]",<lifelike.Rulestring.Rulestring object at 0x7f5b3241bdc0>
4,16,0,100,"[0.22840237 0.60828402 0.87810651 0.83905325 0.39171598 0.44378698
 0.89940828 0.67100592 0.27928994 0.76094675 0.70532544 0.51715976
 0.47692308 0.36331361 0.53372781 0.63195266 0.72307692 0.3112426
 0.6556213  0.66982249 0.45680473 0.49585799 0.64023669 0.6887574
 0.73727811 0.22366864 0.7964497  0.21893491 0.39171598 0.8035503
 0.37633136 0.29349112 0.2260355  0.6887574  0.6556213  0.44260355
 0.16568047 0.49230769 0.93017751 0.83786982 0.06982249 0.93017751
 0.49940828 0.7704142  0.53136095 0.15502959 0.64142012 0.93017751
 0.16449704 0.73017751 0.83786982 0.66035503 0.35857988 0.24615385
 0.80118343 0.86627219 0.42366864 0.86153846 0.47337278 0.80591716
 0.33609467 0.2556213  0.43431953 1.         0.10532544 0.22011834
 0.66863905 0.93017751 0.52662722 0.60473373 0.61301775 0.74674556
 0.64852071 0.65088757 0.78579882 0.23313609 0.06982249 0.52662722
 0.06982249 0.46745562 0.72662722 0.06982249 0.74792899 0.39171598
 0.12189349 0.41065089 0.56804734 0.27573964 0.06982249 0.4852071
 0.23668639 0.25443787 0.10295858 0.54911243 0.21775148 0.57278107
 0.55266272 0.90177515 0.48284024 0.28284024]",<lifelike.Rulestring.Rulestring object at 0x7f5b32375d90>
5,34824,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324cd9d0>
6,4096,0,100,"[0.9443787  0.54911243 0.30532544 0.0887574  0.30532544 0.97988166
 0.80946746 0.45325444 0.76449704 0.0556213  0.7147929  0.23668639
 0.21065089 0.36449704 0.47455621 0.0556213  0.9443787  0.46508876
 1.         0.9443787  0.4556213  0.39526627 0.80473373 0.09112426
 0.3704142  0.07573964 0.32426036 0.84733728 0.37869822 0.2295858
 0.61420118 0.38816568 0.49230769 0.71360947 0.22721893 0.86272189
 0.8591716  0.30177515 0.56213018 0.44142012 0.1408284  0.29467456
 0.6260355  0.19526627 0.23313609 0.88994083 0.24260355 0.64497041
 0.66272189 0.46390533 0.1183432  0.53846154 0.29940828 0.9443787
 0.83195266 0.58579882 0.13017751 0.77633136 0.3112426  0.0556213
 0.21656805 0.72544379 0.42248521 0.57278107 0.87337278 0.21893491
 0.13491124 0.16686391 0.84852071 0.33491124 0.21538462 0.33372781
 0.57159763 0.59171598 0.14556213 0.65680473 1.         0.43195266
 0.12662722 0.8        0.43905325 0.92426036 0.93372781 0.33727811
 0.65325444 0.63668639 0.40946746 0.16923077 0.59881657 0.59763314
 0.         0.68284024 0.13017751 0.76923077 0.9443787  0.60236686
 0.24023669 0.08757396 0.26035503 0.87455621]",<lifelike.Rulestring.Rulestring object at 0x7f5b3235c4c0>
7,2144,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323ef7f0>
8,4128,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3241b6d0>
9,8707,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3236eeb0>
10,1616,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3235ce80>
11,388,0,100,"[0.35739645 0.41775148 0.50059172 0.20236686 0.74319527 0.69585799
 0.15857988 0.35621302 0.50177515 0.73136095 0.24970414 0.76804734
 0.46982249 0.91242604 0.70769231 0.79053254 0.89704142 0.19881657
 0.60118343 0.20236686 0.54792899 0.55857988 0.50532544 0.39289941
 0.42011834 0.50532544 0.58106509 0.84852071 0.85325444 0.12781065
 0.43431953 0.09585799 0.12781065 0.47337278 0.42366864 0.32189349
 0.53846154 0.8        0.4816568  0.5408284  0.66508876 0.21420118
 0.44378698 0.87218935 0.55976331 0.36568047 0.72071006 0.42840237
 0.20710059 0.8295858  0.40236686 0.83668639 0.12781065 0.04260355
 0.31360947 0.58816568 0.33254438 0.62721893 0.69822485 0.38224852
 0.62130178 0.65207101 0.29704142 0.12781065 1.         0.88284024
 0.46272189 0.21301775 0.62721893 0.72426036 0.87218935 0.68757396
 0.87218935 0.38343195 0.85207101 0.69467456 0.23195266 0.12189349
 0.67218935 0.76449704 0.64260355 0.11715976 0.63668639 0.41065089
 0.4        0.64378698 0.12781065 0.12781065 0.13846154 0.71597633
 0.12781065 0.51005917 0.73017751 0.55147929 0.21893491 0.87218935
 0.46272189 0.23905325 0.48757396 0.52544379]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bd970>
12,144640,30,2500,0.9301775147928995,<lifelike.Rulestring.Rulestring object at 0x7f5b32381880>
13,64,0,100,"[0.51597633 0.47692308 0.39289941 0.24378698 0.35029586 0.0852071
 0.03313609 0.96686391 0.25325444 0.51360947 0.3964497  0.87455621
 0.19289941 0.38698225 0.65207101 0.39881657 0.41301775 0.8260355
 0.85325444 0.17751479 0.86153846 0.47928994 0.38106509 0.09940828
 0.86627219 0.26390533 0.72662722 0.81538462 0.78934911 0.39881657
 0.58343195 0.17988166 0.63195266 0.77278107 0.7739645  0.50769231
 0.81538462 0.35976331 0.31242604 0.46627219 0.64970414 0.30769231
 0.09230769 0.30887574 0.46035503 0.75266272 0.35502959 0.2852071
 0.18934911 0.78579882 0.37988166 0.71242604 0.35857988 0.56331361
 0.26508876 0.70650888 0.23905325 0.77514793 0.26153846 0.17633136
 0.73846154 0.96686391 0.10295858 0.06508876 0.24852071 0.4
 1.         0.13964497 0.41893491 0.84852071 0.14674556 0.42366864
 0.60591716 0.17514793 0.39526627 0.87455621 0.2816568  0.51242604
 0.59408284 0.22248521 0.8852071  0.67810651 0.19763314 0.26863905
 0.59289941 0.64970414 0.90769231 0.62366864 0.33846154 0.17988166
 0.31005917 0.82721893 0.20710059 0.73136095 0.4260355  0.5704142
 0.85325444 0.35739645 0.25443787 0.30414201]",<lifelike.Rulestring.Rulestring object at 0x7f5b32335670>
14,8482,30,2500,0.9893491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b32381760>
15,4,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32375f70>
16,1234,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b1bb0>
17,135690,30,2500,0.9408284023668639,<lifelike.Rulestring.Rulestring object at 0x7f5b324bc280>
18,3086,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32380d60>
19,26720,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bfd00>
20,32992,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3241b1c0>
21,18460,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b7490>
22,16388,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32335400>
23,82451,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3236e6d0>
24,2598,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3235cbb0>
25,8625,30,2500,0.9893491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b324a4c10>
26,2062,5,500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b1190>
