,rstring,convtime,visited,bestfit,bestrule
0,65536,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3243ee20>
1,0,0,100,"[0.35996055 0.73964497 0.79289941 0.54674556 0.7408284  0.0852071
 0.94674556 0.3112426  0.85207101 0.1183432  0.75266272 0.21183432
 1.         0.52899408 0.20828402 0.8852071  0.22840237 0.1443787
 0.75739645 0.58698225 0.05325444 0.38224852 0.75502959 0.93727811
 0.1739645  0.53846154 0.52426036 0.07928994 0.33254438 0.
 0.27218935 0.39763314 0.27337278 0.59408284 0.46390533 0.2887574
 0.73254438 0.9112426  0.33372781 0.08047337 0.60118343 0.79053254
 0.15384615 0.16094675 0.19171598 0.40946746 0.18579882 0.43313609
 0.13727811 0.3183432  0.         0.         0.35976331 0.73964497
 0.12662722 0.4816568  0.1739645  0.         0.04378698 0.35976331
 0.18224852 0.75621302 0.87573964 0.16765286 0.28757396 0.43431953
 0.75621302 0.06627219 0.69467456 0.43431953 0.85443787 0.29349112
 0.9183432  0.94674556 0.9418146  0.9183432  0.9147929  0.41065089
 0.09585799 0.64733728 0.36923077 0.         0.2295858  0.9183432
 0.68402367 0.95621302 0.64142012 0.42011834 0.46982249 0.32051282
 0.         0.50059172 0.47810651 0.49822485 1.         1.
 0.44852071 0.86390533 0.54911243 0.30295858]",<lifelike.Rulestring.Rulestring object at 0x7f5b323fde50>
2,0,0,100,"[0.         0.39408284 0.24378698 0.8260355  0.81538462 0.90769231
 0.85680473 0.93727811 0.68757396 0.81065089 0.04378698 0.49467456
 0.53609467 0.16923077 0.39349112 0.25088757 0.7147929  0.26272189
 0.86390533 0.58343195 0.54674556 0.34556213 0.34201183 0.10650888
 0.22130178 0.89704142 0.09585799 0.8295858  0.69112426 0.24378698
 0.94792899 0.89112426 0.63989856 0.85798817 0.10414201 0.35266272
 0.7183432  0.45443787 0.02130178 0.77751479 1.         0.56923077
 0.86153846 0.44852071 0.38934911 0.41893491 0.98934911 0.99112426
 0.64852071 0.         0.96686391 0.33254438 0.10059172 0.52071006
 0.24260355 0.81360947 0.4816568  0.10059172 0.50650888 0.18461538
 0.98934911 0.20473373 0.0556213  0.20473373 0.26627219 0.26508876
 0.66508876 0.98934911 1.         0.29585799 0.30966469 0.26627219
 0.19408284 0.24260355 0.32781065 0.35502959 0.         0.3112426
 0.53846154 0.33609467 0.18461538 0.5147929  0.96686391 0.77278107
 0.22386588 0.55621302 0.54792899 0.25641026 0.78934911 0.67751479
 0.72781065 0.         0.75857988 0.67810651 0.31360947 0.59763314
 0.95621302 0.69704142 0.69112426 0.87573964]",<lifelike.Rulestring.Rulestring object at 0x7f5b323df400>
3,0,0,100,"[0.86272189 0.58579882 0.06863905 0.06863905 0.57278107 0.73846154
 0.73017751 0.         0.92071006 0.17278107 0.8295858  0.19053254
 0.49506903 1.         0.57869822 0.2556213  0.29349112 0.50769231
 0.43195266 1.         0.53017751 0.57199211 0.8260355  0.53491124
 0.92899408 0.87455621 0.89704142 0.5964497  0.57514793 0.03550296
 0.18579882 0.72899408 0.23668639 0.25088757 0.46390533 0.20946746
 0.75976331 0.95621302 0.50394477 0.95621302 0.90769231 0.
 0.31005917 0.92899408 0.1183432  0.51183432 0.98934911 0.15384615
 0.56804734 0.         0.20946746 0.3112426  0.74556213 0.23076923
 0.9408284  0.23195266 0.72071006 0.78934911 0.8556213  0.76923077
 0.33609467 0.96686391 0.21005917 0.50887574 0.         0.4
 0.11360947 0.69585799 0.66153846 0.61775148 0.23668639 0.62485207
 0.89822485 0.87573964 0.28402367 0.61775148 0.79408284 0.29822485
 0.20808679 0.79526627 0.73846154 0.33254438 0.68994083 0.
 0.20118343 0.         0.37771203 0.50769231 0.57514793 0.71301775
 0.55502959 0.07455621 0.77278107 0.2816568  0.70295858 0.25798817
 0.03195266 0.56213018 0.80236686 0.38579882]",<lifelike.Rulestring.Rulestring object at 0x7f5b323dcb80>
4,16,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323fdc40>
5,34824,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bd640>
6,4096,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bf760>
7,2144,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cc70>
8,4128,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323fdb50>
9,8707,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239da90>
10,1616,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239d460>
