,rstring,convtime,visited,bestfit,bestrule
0,65536,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bbdc0>
1,0,0,100,"[0.68047337 0.3443787  0.46982249 0.1964497  0.25207101 0.93372781
 0.29940828 0.28994083 0.70650888 0.24497041 0.         0.07100592
 1.         0.8887574  0.84852071 0.40946746 0.74674556 0.9183432
 0.85088757 0.34792899 0.37988166 0.0816568  0.51952663 0.74911243
 0.70059172 0.1704142  0.06627219 0.         0.80591716 0.59408284
 0.62130178 0.33846154 0.85325444 0.52899408 0.74556213 0.26627219
 0.16213018 0.51005917 0.79763314 0.67573964 0.15857988 0.01065089
 0.76686391 0.57278107 0.84142012 0.98934911 0.         0.9408284
 0.76449704 0.69585799 0.60473373 0.66745562 0.32307692 0.32544379
 0.84615385 0.32426036 0.30887574 0.26627219 0.89704142 0.
 0.3183432  0.79763314 0.93609467 0.17751479 0.41893491 0.0852071
 0.03195266 0.         1.         0.55384615 0.87573964 0.
 0.66153846 0.07100592 0.29940828 0.86508876 0.98934911 0.49940828
 0.07455621 0.03550296 0.40591716 0.95621302 0.03550296 0.40118343
 0.58579882 0.         0.28284024 0.52899408 0.0556213  0.53017751
 0.46035503 0.73491124 0.54792899 0.41301775 0.26863905 0.15147929
 0.         0.80710059 0.8        0.89704142]",<lifelike.Rulestring.Rulestring object at 0x7f5b32421bb0>
2,0,0,100,"[0.8852071  0.30414201 0.9183432  0.53846154 0.33846154 0.2295858
 0.83550296 0.0816568  0.96449704 0.31597633 0.32662722 1.
 0.21420118 0.78934911 0.15384615 0.83905325 0.05207101 0.39053254
 0.64142012 0.47573964 0.03313609 0.63668639 1.         0.49349112
 0.97869822 0.96686391 0.23076923 0.73727811 0.66627219 0.11242604
 0.55621302 0.37278107 0.51242604 0.60946746 0.37751479 0.22366864
 0.3964497  0.         0.67573964 0.         0.23905325 0.83668639
 0.66982249 0.13964497 0.82130178 0.03195266 0.33846154 0.09467456
 1.         0.76923077 0.35029586 0.24023669 0.96804734 0.05207101
 0.97988166 0.87455621 0.26035503 0.7704142  0.79526627 0.95621302
 0.9408284  0.58106509 0.         0.1408284  0.69349112 0.43195266
 0.80946746 0.8295858  0.56213018 0.21538462 0.8260355  0.2295858
 0.21065089 0.59763314 0.62248521 0.38698225 0.83550296 0.57514793
 0.12426036 0.07455621 0.04378698 0.81538462 0.87573964 0.
 0.92071006 0.84615385 0.92071006 0.         0.01065089 0.38698225
 0.19526627 0.45443787 0.40236686 0.92307692 0.47337278 0.20473373
 0.94556213 0.38106509 0.59289941 0.58343195]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bd610>
3,0,0,100,"[0.40236686 0.54319527 0.15857988 0.46390533 0.06982249 0.96804734
 1.         0.13372781 0.         0.67455621 0.78934911 0.18461538
 0.53254438 0.03550296 0.         0.86153846 0.45680473 0.11242604
 0.70414201 0.16449704 0.32544379 0.77988166 0.69585799 0.
 0.78343195 0.84260355 0.27928994 0.06863905 0.63905325 0.54319527
 0.29349112 0.49112426 0.80236686 1.         0.37869822 0.97988166
 0.60828402 0.45325444 0.56449704 0.1443787  0.87573964 0.21893491
 0.86390533 0.62248521 0.9147929  0.6        0.52544379 0.4
 0.4295858  0.31715976 0.52307692 0.64260355 0.94792899 0.24497041
 0.69230769 1.         0.12071006 0.02011834 0.16331361 0.37159763
 0.21301775 1.         0.5183432  0.32307692 0.72189349 0.0556213
 0.16686391 0.9443787  0.29467456 0.0852071  0.36686391 0.9408284
 0.59171598 0.2887574  0.03550296 0.56331361 0.61065089 0.4295858
 1.         0.12781065 0.69940828 0.         0.52307692 0.95739645
 0.04378698 0.4260355  0.29467456 0.53609467 0.45443787 0.10414201
 0.06745562 0.1964497  0.06982249 0.89704142 0.89704142 0.73017751
 0.03550296 0.79408284 0.48994083 0.52662722]",<lifelike.Rulestring.Rulestring object at 0x7f5b323bbe80>
4,16,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32299880>
5,34824,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322995e0>
6,4096,0,100,"[0.92544379 0.0556213  0.5704142  0.28284024 0.21538462 0.51360947
 0.54792899 0.54792899 0.83786982 0.0556213  0.32899408 0.47692308
 0.12426036 0.67692308 0.82011834 0.87573964 0.69467456 0.84497041
 0.59053254 0.86272189 0.26863905 0.15739645 0.61538462 0.15976331
 0.20946746 0.33491124 0.41538462 0.13017751 0.27573964 0.2295858
 0.71952663 0.77633136 0.6556213  0.15147929 0.24852071 0.29585799
 0.50177515 0.68639053 0.93609467 0.41893491 0.83905325 0.90887574
 0.08757396 0.28757396 0.12426036 0.0556213  0.67573964 0.52426036
 0.9443787  0.33964497 0.61775148 0.         0.39171598 0.18343195
 0.33491124 0.9443787  0.26982249 0.73609467 0.57278107 0.62485207
 0.30769231 0.64142012 0.7112426  0.9443787  0.63195266 0.47810651
 0.66508876 0.54792899 0.44378698 0.39289941 0.47928994 0.14319527
 0.85443787 0.89349112 0.46272189 0.35739645 0.61301775 0.73491124
 0.25443787 0.16804734 0.27810651 0.14792899 1.         0.8852071
 0.12071006 0.12544379 0.83195266 0.36686391 0.69704142 0.9443787
 0.78343195 0.8260355  0.51715976 0.55266272 0.43905325 0.13136095
 0.09940828 0.16094675 0.84142012 0.8295858 ]",<lifelike.Rulestring.Rulestring object at 0x7f5b323aec10>
7,2144,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323baeb0>
8,4128,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bca30>
9,8707,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32435df0>
