,rstring,convtime,visited,bestfit,bestrule
0,65536,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322dc8e0>
1,0,0,100,"[0.27440828 0.25542406 0.92636423 0.2642998  0.63651733 0.44600592
 0.5443787  0.80811496 0.67718606 0.64243449 0.9112426  0.60473373
 0.36094675 0.         0.38968724 0.72899408 0.59171598 0.9509721
 0.13693998 0.61760355 0.55739645 0.3339908  0.44632291 0.61031276
 0.59509721 0.29230769 0.5581854  0.05547337 0.55843195 0.77176669
 0.58727811 0.67637688 0.41420118 0.90769231 0.20118343 0.58727811
 0.64825773 0.77837547 0.94674556 0.39842209 0.59097633 0.42688081
 0.36804734 0.26982249 0.39585799 0.41183432 0.81656805 0.32544379
 0.47455621 0.78599606 0.68216399 0.71696252 0.72721893 0.31755424
 0.32840237 0.20118343 0.88658777 0.41321499 0.62426036 0.57692308
 0.66765286 0.9147929  0.97928994 0.32206255 0.02689618 0.2079459
 0.64299803 0.47759932 0.80532544 0.79881657 0.71334648 0.30571992
 0.77810651 0.4637574  0.44304734 1.         0.35872781 0.26120034
 0.92392223 0.89677844 0.41814596 0.28665352 0.7566568  0.0887574
 0.7739645  0.43550296 0.75608153 0.42455621 0.80388842 0.37146614
 0.22248521 0.63905325 0.37376726 0.16642012 0.43279797 0.78021978
 0.92529586 0.19357566 0.73626374 0.46351085]",<lifelike.Rulestring.Rulestring object at 0x7f5b323966a0>
2,0,0,100,"[0.62795858 0.12781065 0.53846154 0.52307692 0.92110454 0.3761623
 0.40828402 0.98009683 0.21696252 0.92645816 1.         0.
 0.         0.85996055 0.45508338 0.65976331 0.10798817 0.61439842
 0.40433925 0.49881657 0.81804734 0.68047337 0.5646661  0.17159763
 0.40631164 0.82840237 0.81952663 0.15384615 0.36390533 0.58833474
 0.53944773 0.96872358 0.87524655 0.50718512 0.56923077 0.93744717
 0.92561285 1.         0.7843524  0.60502959 0.38560158 0.23150888
 0.07495069 0.97781065 0.37869822 0.15581854 0.33037475 0.18860947
 0.00650888 0.20650888 0.         0.23931624 0.31868132 0.76415892
 0.02761341 0.92899408 1.         0.49309665 0.0443787  0.15300085
 0.47485207 0.04378698 0.63116371 0.12595097 0.47421809 0.60946746
 0.78032544 0.45825115 0.92406312 0.73964497 0.88017751 0.51048951
 0.         0.93786982 0.95340237 0.70266272 0.42800789 0.03140646
 0.23372781 0.59467456 0.6120973  0.65595943 0.82248521 0.4556213
 0.93491124 0.6591716  0.23722431 0.2816568  0.42159763 0.06508876
 0.64023669 0.67878276 0.70019724 0.52071006 0.77416174 0.57988166
 0.43076923 0.60193653 0.33474218 0.8239645 ]",<lifelike.Rulestring.Rulestring object at 0x7f5b3239ee80>
3,0,0,100,"[1.         0.65828402 0.30118343 0.61952663 0.9501268  0.33136095
 0.73298817 0.29191321 0.24753452 0.87089833 0.00641026 0.6035503
 1.         0.33220626 0.24733728 0.00813609 0.27979713 0.
 0.5887574  0.57889546 0.13727811 0.62975486 0.94378698 0.15187377
 0.23224852 0.41420118 0.78254438 0.95857988 0.79053254 0.59500329
 0.36517329 0.         0.13964497 0.17258383 0.39127219 0.52564103
 0.13313609 0.91546915 0.7032967  0.         0.         0.37672584
 0.68808115 0.34714004 0.83629191 0.4017094  0.45118343 0.23668639
 0.18994083 0.73609467 0.78106509 0.48393914 0.38683432 0.12278107
 0.24654832 0.44497041 0.51056636 0.79289941 0.52409129 0.58284024
 0.3239645  0.31952663 1.         0.08678501 0.08321006 0.88757396
 0.67455621 0.29962345 0.14260355 0.69230769 0.         0.85443787
 0.92899408 0.48668639 0.6830093  0.90059172 0.28639053 0.51183432
 0.09230769 0.99239222 0.39814032 0.47781065 0.10769231 0.13609467
 0.26880811 0.         0.97869822 0.02904788 0.41198225 0.
 0.74161736 0.47337278 0.99013807 0.26692965 0.52844788 0.4904668
 0.41518738 0.97464074 0.9756739  0.27120316]",<lifelike.Rulestring.Rulestring object at 0x7f5b32396fa0>
4,16,0,100,"[0.10133136 0.23668639 0.0581854  0.23602893 1.         0.4112426
 0.09467456 0.26542688 0.55522682 0.31242604 0.79198908 0.12943787
 0.0581854  0.41081995 0.3408284  0.65532544 0.36923077 0.89546351
 0.41025641 0.9418146  0.90448014 0.49220011 0.72512103 0.36517329
 0.26745562 0.9501268  0.59171598 0.29416737 0.03221565 0.88926458
 0.05748098 0.31715976 0.94230769 0.91190007 0.70118343 0.45798817
 0.9501268  0.87100592 0.52366864 0.66863905 0.57159763 0.42688081
 0.534235   0.5841082  0.1035503  0.31276416 0.72696534 0.43279797
 0.32167832 0.3182117  0.80388842 0.5362426  0.47731755 0.58579882
 0.30295858 0.52544379 0.70583263 0.64201183 0.83076923 0.5581854
 0.9418146  0.45192308 0.19188504 0.82079459 0.59585799 0.22813938
 0.70769231 0.70414201 0.41518738 0.50493097 0.306847   0.70245139
 0.0964497  0.83579882 0.78529163 0.40236686 0.9501268  0.70019724
 0.46646943 0.19763314 0.04470743 0.72189349 0.12623274 0.26863905
 0.20656267 0.88609467 0.52409129 0.60946746 0.15581854 0.77662722
 0.64750634 0.55128205 0.61242604 0.87130178 0.03491124 0.42455621
 0.34995773 0.27100592 0.53338969 0.29693384]",<lifelike.Rulestring.Rulestring object at 0x7f5b324bdc70>
5,34824,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3235ce20>
6,4096,1,180,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322dcaf0>
7,2144,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b32396220>
8,4128,2,260,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323b9f40>
9,8707,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322dc520>
