,id,d,p,t
0,pop20_el10_mut1_ep1000,9.960526315789473,62.04210526315789,37.266160011291504
1,pop20_el10_mut1_ep5000,14.755,62.0,110.52746772766113
2,pop20_el10_mut1_ep10000,66.07105263157895,66.41052631578947,347.9058127403259
3,pop20_el10_mut5_ep1000,12.155000000000001,62.1,46.44412851333618
4,pop20_el10_mut5_ep5000,86.99583333333334,72.38333333333333,388.9242219924927
5,pop20_el10_mut5_ep10000,83.7464285714286,72.35714285714286,545.0554413795471
6,pop20_el10_mut10_ep1000,72.871875,66.30000000000001,44.12300634384155
7,pop20_el10_mut10_ep5000,74.15625,71.5875,264.88488364219666
8,pop20_el10_mut10_ep10000,47.06875,65.44375,482.16007256507874
9,pop20_el20_mut1_ep1000,84.68666666666668,74.96000000000001,41.333688259124756
10,pop20_el20_mut1_ep5000,51.99444444444444,64.63888888888889,134.05778694152832
11,pop20_el20_mut1_ep10000,12.18421052631579,62.78947368421053,236.81896448135376
12,pop20_el20_mut5_ep1000,45.978947368421046,64.35263157894737,43.93330264091492
13,pop20_el20_mut5_ep5000,78.34333333333333,64.50666666666667,166.96999740600586
14,pop20_el20_mut5_ep10000,73.39375000000001,68.25,458.137633562088
15,pop20_el20_mut10_ep1000,73.38333333333334,67.88000000000001,53.984596252441406
16,pop20_el20_mut10_ep5000,41.48636363636364,67.8,240.44750022888184
17,pop20_el20_mut10_ep10000,72.2076923076923,68.44615384615385,465.78749537467957
18,pop20_el50_mut1_ep1000,84.83333333333333,65.9111111111111,42.72618222236633
19,pop20_el50_mut1_ep5000,87.2875,66.53125,148.87893962860107
20,pop20_el50_mut1_ep10000,80.885,63.44500000000001,240.2060787677765
21,pop20_el50_mut5_ep1000,48.68333333333334,64.52777777777777,42.03352189064026
22,pop20_el50_mut5_ep5000,84.3029411764706,69.86470588235295,192.06589221954346
23,pop20_el50_mut5_ep10000,71.93823529411763,64.09411764705882,342.7300841808319
24,pop20_el50_mut10_ep1000,37.21470588235293,65.73529411764706,64.1822521686554
25,pop20_el50_mut10_ep5000,31.83235294117647,65.5,231.68066358566284
26,pop20_el50_mut10_ep10000,39.24333333333333,65.15333333333334,433.9502282142639
27,pop50_el10_mut1_ep1000,46.28775510204081,62.255102040816325,119.45407843589783
28,pop50_el10_mut1_ep5000,1.0408163265306123,62.0,474.8733866214752
29,pop50_el10_mut1_ep10000,5.5173469387755105,62.42040816326531,637.0487847328186
30,pop50_el10_mut5_ep1000,59.41976744186047,63.093023255813954,86.74212074279785
31,pop50_el10_mut5_ep5000,63.92674418604651,64.57441860465116,591.4622116088867
32,pop50_el10_mut5_ep10000,80.21794871794873,65.04615384615386,822.7400939464569
33,pop50_el10_mut10_ep1000,51.76285714285715,65.92571428571429,210.83007717132568
34,pop50_el10_mut10_ep5000,58.348387096774196,67.97419354838709,571.6590723991394
35,pop50_el10_mut10_ep10000,52.77571428571429,64.52857142857142,1056.7217500209808
36,pop50_el20_mut1_ep1000,35.01428571428571,63.41836734693877,81.4975004196167
37,pop50_el20_mut1_ep5000,40.70729166666667,64.7375,307.95443892478943
38,pop50_el20_mut1_ep10000,34.825,64.39047619047619,777.525128364563
39,pop50_el20_mut5_ep1000,51.16279069767442,64.2139534883721,116.09934854507446
40,pop50_el20_mut5_ep5000,54.37272727272728,64.91818181818182,408.6999342441559
41,pop50_el20_mut5_ep10000,18.891860465116277,62.793023255813964,788.7371618747711
42,pop50_el20_mut10_ep1000,39.39404761904762,64.02142857142857,107.88917994499207
43,pop50_el20_mut10_ep5000,66.8445652173913,65.44565217391305,560.1039924621582
44,pop50_el20_mut10_ep10000,75.54871794871794,67.42307692307692,1119.2243101596832
45,pop50_el50_mut1_ep1000,56.94673913043478,64.04782608695653,101.74760460853577
46,pop50_el50_mut1_ep5000,31.574489795918367,63.27346938775511,344.33544659614563
47,pop50_el50_mut1_ep10000,12.545918367346939,62.0,628.3965268135071
48,pop50_el50_mut5_ep1000,35.74090909090909,63.39772727272727,108.85588550567627
49,pop50_el50_mut5_ep5000,63.12045454545454,64.14090909090909,445.0438549518585
50,pop50_el50_mut5_ep10000,62.48421052631579,66.27368421052633,840.7955338954926
51,pop50_el50_mut10_ep1000,43.70581395348837,64.96511627906976,108.6705527305603
52,pop50_el50_mut10_ep5000,44.97560975609756,65.77804878048781,540.5181143283844
53,pop50_el50_mut10_ep10000,40.96875,64.33250000000001,1049.6361138820648
54,pop100_el10_mut1_ep1000,14.973626373626372,62.42967032967034,165.7953543663025
55,pop100_el10_mut1_ep5000,84.81702127659575,63.335106382978715,1222.8935017585754
56,pop100_el10_mut1_ep10000,92.74513888888889,72.03749999999998,1807.4227430820465
57,pop100_el10_mut5_ep1000,43.614044943820225,64.94044943820225,219.46846079826355
58,pop100_el10_mut5_ep5000,49.5110294117647,68.76617647058823,1025.407862663269
59,pop100_el10_mut5_ep10000,71.7216049382716,65.54938271604938,1796.7997093200684
