"[2, 7, 8]_[1, 2, 4, 8]","[2, 7, 8]_[1, 2, 4, 8]","[2, 4, 6, 7, 8]_[1, 2, 4, 8]","[2, 7, 8]_[1, 2, 4, 8]"
0100001111010001,0100001111010001,0101011111010001,0100001111010001
27.0,26.947368421052623,1.0,0.7894736842105203
