,rstring,convtime,visited,bestrule
0,185803,30,224,261375
1,30827,30,251,67
2,185433,30,174,260063
3,66248,6,87,66248
4,181764,14,195,181764
5,183637,22,230,183637
6,50710,7,107,50710
7,228583,13,147,228583
8,42458,30,247,1280
9,106179,11,160,106179
10,45585,9,116,45585
11,239107,30,202,261375
12,183567,14,175,183567
13,30756,14,179,30756
14,239424,6,108,239424
15,104174,8,121,104174
16,81797,6,110,81797
17,47372,7,114,47372
18,202865,19,223,202865
19,186270,10,146,186270
20,100229,14,160,100229
21,85446,9,126,85446
22,120985,13,170,120985
23,112907,30,234,113983
24,63357,9,112,63357
25,124902,13,131,124902
26,34142,13,159,34142
27,255090,22,268,255090
28,20472,30,229,1408
29,13675,9,137,13675
30,135015,24,258,135015
31,41736,10,132,41736
32,126432,27,228,126432
33,212422,12,169,212422
34,205778,30,256,254928
35,85849,18,216,85849
36,101820,17,199,101820
37,145044,7,106,145044
38,116540,30,217,49208
39,21230,30,199,17024
40,180994,8,129,180994
41,181171,30,239,261055
42,121433,10,124,121433
43,233228,6,107,233228
44,119414,15,159,119414
45,11988,6,97,11988
46,16479,11,135,16479
47,55669,30,185,2112
48,146509,15,177,146509
49,189593,23,248,189593
50,58804,30,226,1280
51,92513,30,236,93024
52,176434,11,149,176434
53,161887,12,134,161887
54,122575,11,134,122575
55,144173,16,204,144173
56,111405,10,132,111405
57,253627,6,74,253627
58,232969,30,253,258015
59,103922,4,79,103922
60,242603,15,167,242603
61,182543,11,146,182543
62,73069,10,143,73069
63,186848,7,106,186848
64,115674,30,211,115282
65,61162,30,230,1152
66,67251,11,138,67251
67,169618,7,110,169618
68,163109,6,96,163109
69,141369,18,186,141369
70,235266,29,239,235266
71,47587,30,242,259
72,127132,25,237,127132
73,229580,7,108,229580
74,235329,30,204,237567
75,176551,30,183,178623
76,219317,30,257,219829
77,243371,10,138,243371
78,85015,13,177,85015
79,221490,15,182,221490
80,249398,22,210,249398
81,97240,30,215,2112
82,14163,6,104,14163
83,176546,8,122,176546
84,109497,18,221,109497
85,187535,16,179,187535
86,40787,7,117,40787
87,132062,9,139,132062
88,85932,23,238,85932
89,72711,16,185,72711
90,105340,30,202,4128
91,97093,30,233,90369
92,136047,8,128,136047
93,148694,8,132,148694
94,150422,10,151,150422
95,75722,19,223,75722
96,142784,11,164,142784
97,55988,30,257,2688
98,144095,8,110,144095
99,215371,30,234,261375
