,rstring,convtime,visited,bestrule
0,185803,3,58,185803
1,30827,14,173,30827
2,185433,12,168,185433
3,66248,14,177,66248
4,181764,9,123,181764
5,183637,9,147,183637
6,50710,4,78,50710
7,228583,9,112,228583
8,42458,8,122,42458
9,106179,12,144,106179
10,45585,11,147,45585
11,239107,5,93,239107
12,183567,11,137,183567
13,30756,12,143,30756
14,239424,5,90,239424
15,104174,3,64,104174
16,81797,12,168,81797
17,47372,7,111,47372
18,202865,15,166,202865
19,186270,5,93,186270
20,100229,14,174,100229
21,85446,13,161,85446
22,120985,9,113,120985
23,112907,13,164,112907
24,63357,14,191,63357
25,124902,7,96,124902
26,34142,9,119,34142
27,255090,7,117,255090
28,20472,21,223,20472
29,13675,11,168,13675
30,135015,12,172,135015
31,41736,6,94,41736
32,126432,3,70,126432
33,212422,10,141,212422
34,205778,10,156,205778
35,85849,6,99,85849
36,101820,9,138,101820
37,145044,9,146,145044
38,116540,8,123,116540
39,21230,12,167,21230
40,180994,6,104,180994
41,181171,6,98,181171
42,121433,8,141,121433
43,233228,9,129,233228
44,119414,10,150,119414
45,11988,9,130,11988
46,16479,8,130,16479
47,55669,10,169,55669
48,146509,12,155,146509
49,189593,9,141,189593
50,58804,4,78,58804
51,92513,9,131,92513
52,176434,9,152,176434
53,161887,8,105,161887
54,122575,8,114,122575
55,144173,13,154,144173
56,111405,5,80,111405
57,253627,9,102,253627
58,232969,9,108,232969
59,103922,10,135,103922
60,242603,9,120,242603
61,182543,8,123,182543
62,73069,8,135,73069
63,186848,6,108,186848
64,115674,11,154,115674
65,61162,7,107,61162
66,67251,14,181,67251
67,169618,12,170,169618
68,163109,13,179,163109
69,141369,12,173,141369
70,235266,10,129,235266
71,47587,6,99,47587
72,127132,11,159,127132
73,229580,11,153,229580
74,235329,9,130,235329
75,176551,6,109,176551
76,219317,10,143,219317
77,243371,9,98,243371
78,85015,8,109,85015
79,221490,8,135,221490
80,249398,13,169,249398
81,97240,7,98,97240
82,14163,6,107,14163
83,176546,11,153,176546
84,109497,11,144,109497
85,187535,17,173,187535
86,40787,6,95,40787
87,132062,5,87,132062
88,85932,6,104,85932
89,72711,5,91,72711
90,105340,3,69,105340
91,97093,11,147,97093
92,136047,10,134,136047
93,148694,7,106,148694
94,150422,7,108,150422
95,75722,3,66,75722
96,142784,9,129,142784
97,55988,16,176,55988
98,144095,8,106,144095
99,215371,12,165,215371
