,rstring,convtime,visited,bestrule
0,185803,7,103,185803
1,30827,11,158,30827
2,185433,9,147,185433
3,66248,6,90,66248
4,181764,19,192,181764
5,183637,10,141,183637
6,50710,8,114,50710
7,228583,5,87,228583
8,42458,6,113,42458
9,106179,11,158,106179
10,45585,12,158,45585
11,239107,6,102,239107
12,183567,8,120,183567
13,30756,6,89,30756
14,239424,8,126,239424
15,104174,6,105,104174
16,81797,9,124,81797
17,47372,5,91,47372
18,202865,7,118,202865
19,186270,8,123,186270
20,100229,10,157,100229
21,85446,6,99,85446
22,120985,7,115,120985
23,112907,11,145,112907
24,63357,10,151,63357
25,124902,5,89,124902
26,34142,8,126,34142
27,255090,11,142,255090
28,20472,6,111,20472
29,13675,4,83,13675
30,135015,10,149,135015
31,41736,10,127,41736
32,126432,5,89,126432
33,212422,12,159,212422
34,205778,16,181,205778
35,85849,12,158,85849
36,101820,7,115,101820
37,145044,13,163,145044
38,116540,12,165,116540
39,21230,19,198,21230
40,180994,9,136,180994
41,181171,10,155,181171
42,121433,6,107,121433
43,233228,13,158,233228
44,119414,17,189,119414
45,11988,10,123,11988
46,16479,6,91,16479
47,55669,9,126,55669
48,146509,12,147,146509
49,189593,6,100,189593
50,58804,9,121,58804
51,92513,8,119,92513
52,176434,6,98,176434
53,161887,11,161,161887
54,122575,11,153,122575
55,144173,10,151,144173
56,111405,11,126,111405
57,253627,9,110,253627
58,232969,10,138,232969
59,103922,7,117,103922
60,242603,10,137,242603
61,182543,7,105,182543
62,73069,10,152,73069
63,186848,10,144,186848
64,115674,13,168,115674
65,61162,8,135,61162
66,67251,7,108,67251
67,169618,10,138,169618
68,163109,26,260,163109
69,141369,10,133,141369
70,235266,9,123,235266
71,47587,8,127,47587
72,127132,8,95,127132
73,229580,10,138,229580
74,235329,13,170,235329
75,176551,10,133,176551
76,219317,7,107,219317
77,243371,12,163,243371
78,85015,7,98,85015
79,221490,9,115,221490
80,249398,8,125,249398
81,97240,7,115,97240
82,14163,14,155,14163
83,176546,7,114,176546
84,109497,13,140,109497
85,187535,9,125,187535
86,40787,10,132,40787
87,132062,5,96,132062
88,85932,10,126,85932
89,72711,8,118,72711
90,105340,14,182,105340
91,97093,12,164,97093
92,136047,9,122,136047
93,148694,10,155,148694
94,150422,10,146,150422
95,75722,12,140,75722
96,142784,9,133,142784
97,55988,11,144,55988
98,144095,17,176,144095
99,215371,9,125,215371
