,rstring,convtime,visited,bestrule
0,185803,30,216,261375
1,30827,30,285,67
2,185433,30,179,260063
3,66248,8,124,66248
4,181764,30,217,246208
5,183637,30,191,260063
6,50710,9,142,50710
7,228583,7,110,228583
8,42458,30,226,1288
9,106179,17,206,106179
10,45585,9,120,45585
11,239107,30,220,243711
12,183567,9,126,183567
13,30756,18,145,30756
14,239424,6,90,239424
15,104174,5,99,104174
16,81797,12,161,81797
17,47372,10,134,47372
18,202865,30,202,243711
19,186270,10,146,186270
20,100229,30,188,129023
21,85446,13,184,85446
22,120985,10,138,120985
23,112907,30,218,130047
24,63357,30,240,768
25,124902,30,231,562
26,34142,30,192,1288
27,255090,11,151,255090
28,20472,30,249,1408
29,13675,14,210,13675
30,135015,30,267,228223
31,41736,11,138,41736
32,126432,30,234,2112
33,212422,7,118,212422
34,205778,16,205,205778
35,85849,30,277,2112
36,101820,8,140,101820
37,145044,10,150,145044
38,116540,12,169,116540
39,21230,30,257,70
40,180994,14,189,180994
41,181171,30,238,261567
42,121433,13,187,121433
43,233228,21,237,233228
44,119414,30,195,68
45,11988,7,103,11988
46,16479,6,101,16479
47,55669,30,225,768
48,146509,17,206,146509
49,189593,30,190,260031
50,58804,30,213,768
51,92513,30,209,65
52,176434,30,252,229760
53,161887,14,185,161887
54,122575,14,169,122575
55,144173,10,139,144173
56,111405,17,203,111405
57,253627,8,113,253627
58,232969,30,274,249791
59,103922,30,209,4160
60,242603,30,226,261055
61,182543,12,162,182543
62,73069,30,240,3136
63,186848,13,184,186848
64,115674,30,199,2112
65,61162,30,200,1152
66,67251,13,169,67251
67,169618,11,154,169618
68,163109,30,260,161535
69,141369,30,229,162559
70,235266,8,130,235266
71,47587,30,274,259
72,127132,13,146,127132
73,229580,9,119,229580
74,235329,8,128,235329
75,176551,24,235,176551
76,219317,30,190,260031
77,243371,30,177,245183
78,85015,30,270,130487
79,221490,30,264,254448
80,249398,30,250,255472
81,97240,30,213,2112
82,14163,30,268,13919
83,176546,30,289,254432
84,109497,30,158,129023
85,187535,7,95,187535
86,40787,17,249,40787
87,132062,30,296,156638
88,85932,13,169,85932
89,72711,6,101,72711
90,105340,30,207,2112
91,97093,30,218,129023
92,136047,25,261,136047
93,148694,18,226,148694
94,150422,4,67,150422
95,75722,13,168,75722
96,142784,30,273,238016
97,55988,30,189,1152
98,144095,19,235,144095
99,215371,30,166,228863
