,b,d,p
0,0.0,107.546875,66.80000000000001
1,10.0,65.98499999999999,85.185
2,20.0,7.549999999999999,62.0
3,30.0,63.375,79.675
4,40.0,58.955,62.879999999999995
5,50.0,47.65,93.06842105263159
6,60.0,73.80454545454546,72.45454545454544
7,70.0,70.77,79.95
8,80.0,52.339999999999996,72.57
9,90.0,1.0210526315789472,62.0
10,100.0,82.0,73.47999999999999
