d,p
90.81,64.63333333333333
82.0,74.0
86.50625,72.925
93.640625,66.31875
89.17142857142856,73.4
101.07,74.55999999999999
89.6,75.4
87.5,74.25
96.91875,74.06875
97.71578947368421,65.83157894736841
