,Objective fitness,Relative Fitness
0,42.0,42.0
1,37.0,37.0
2,69.0,69.0
3,37.0,37.0
4,79.0,79.0
5,62.0,62.0
6,41.5,41.5
7,36.5,36.5
8,46.5,46.5
9,73.5,73.5
10,76.0,76.0
11,0.0,0.0
12,61.0,61.0
13,48.0,48.0
14,86.0,86.0
15,79.5,79.5
16,75.5,75.5
17,42.0,42.0
18,64.5,64.5
19,67.5,67.5
20,0.0,0.0
21,97.0,97.0
22,31.5,31.5
23,46.0,46.0
24,38.0,38.0
25,42.5,42.5
26,33.0,33.0
27,91.0,91.0
28,42.0,42.0
29,86.5,86.5
30,91.0,91.0
31,56.0,56.0
32,64.5,64.5
33,0.0,0.0
34,44.5,44.5
35,80.0,80.0
36,48.5,48.5
37,0.0,0.0
38,79.5,79.5
39,43.0,43.0
40,0.0,0.0
41,0.0,0.0
42,66.5,66.5
43,40.0,40.0
44,18.0,18.0
45,37.0,37.0
46,42.0,42.0
47,35.0,35.0
48,11.0,11.0
49,33.5,33.5
50,50.5,50.5
51,8.0,8.0
52,21.5,21.5
53,55.5,55.5
54,32.5,32.5
55,42.5,42.5
56,62.0,62.0
57,22.5,22.5
58,52.5,52.5
59,37.0,37.0
60,0.0,0.0
61,47.0,47.0
62,50.0,50.0
63,86.0,86.0
64,0.0,0.0
65,45.0,45.0
66,55.5,55.5
67,59.0,59.0
68,68.0,68.0
69,37.5,37.5
70,28.5,28.5
71,44.5,44.5
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,38.5,38.5
76,39.0,39.0
77,31.0,31.0
78,0.0,0.0
79,21.0,21.0
80,71.0,71.0
81,0.0,0.0
82,79.5,79.5
83,46.5,46.5
84,63.0,63.0
85,0.0,0.0
86,67.0,67.0
87,0.0,0.0
88,81.5,81.5
89,38.0,38.0
90,43.0,43.0
91,13.0,13.0
92,15.0,15.0
93,3.0,3.0
94,35.5,35.5
95,62.0,62.0
96,73.5,73.5
97,30.0,30.0
98,0.0,0.0
99,31.0,31.0
