"[1, 6, 7]_[2, 3, 5]","[1, 6, 7]_[2, 3, 5, 6]","[1, 6, 7, 8]_[2, 3, 5]","[1, 6, 7]_[1, 2, 3, 5, 6]","[1, 6, 7]_[2, 3, 5, 6, 8]","[1, 6, 7]_[2, 3, 5]","[1, 6, 7]_[1, 2, 3, 5, 6]","[1, 6, 7, 8]_[2, 3, 5, 6]","[1, 6, 7]_[1, 2, 3, 5, 6]","[1, 6, 7, 8]_[2, 3, 5, 6]","[1, 6, 7, 8]_[2, 3, 5, 6]","[1, 6]_[1, 2, 3, 5, 6]","[2, 6]_[2, 3, 4]","[1, 5, 7]_[1, 2, 3]","[1, 6, 7]_[2, 3, 5, 7]","[1, 6, 7, 8]_[2, 3]","[1, 6, 7]_[2, 3, 5, 6, 7]","[1, 6, 8]_[1, 2, 3, 5, 6]","[1, 6, 7, 8]_[2, 3, 5, 7]","[1, 6, 8]_[1, 2, 3]","[1, 6, 8]_[1, 2, 3, 5]","[1, 6, 7, 8]_[2, 3, 6]","[1, 6]_[2, 3, 8]","[2, 7]_[1, 3, 4, 5]","[1, 2, 6, 8]_[1, 2, 3, 8]"
0001011101111101,1111101011100000,1010011111101000,1100011001000100,1010011101101101,1001011100100011,1100001011111011,1000011100101100,0001100000110111,1101010101011100,1000011101111100,0011100111110100,0100010001110000,1000101011000000,1000011000111010,1000110000110000,1010000011111110,1100010100101100,1000110001111000,0000000111100001,1000011100111101,0001011101101100,1000011001101001,0100001011111100,1100010110000001
1.0,0.9795918367346939,0.9591836734693877,0.9387755102040816,0.9183673469387754,0.8979591836734693,0.8775510204081632,0.8571428571428571,0.836734693877551,0.8163265306122448,0.7959183673469387,0.7755102040816326,0.7551020408163265,0.7346938775510203,0.7142857142857142,0.6938775510204082,0.673469387755102,0.6530612244897959,0.6326530612244897,0.6122448979591836,0.5918367346938775,0.5714285714285714,0.5510204081632653,0.5306122448979591,0.5102040816326531
